Time,BG,CGM,CHO,insulin,LBGI,HBGI,Risk
2023-04-19 16:13:21.722412,142.9540025774446,138.99284359304315,0.0,0.021125,0.0,1.9990794156505018,1.9990794156505018
2023-04-19 16:16:21.722412,142.19001102590542,137.06346065891861,0.0,0.021125,0.0,1.9104167810538732,1.9104167810538732
2023-04-19 16:19:21.722412,141.4023579024226,134.07121591354974,0.0,0.021125,0.0,1.8206390392889538,1.8206390392889538
2023-04-19 16:22:21.722412,140.59608797494656,130.65670270906233,0.0,0.021125,0.0,1.7304852453319495,1.7304852453319495
2023-04-19 16:25:21.722412,139.77576597539195,127.4600315480582,0.0,0.021125,0.0,1.640606635058568,1.640606635058568
2023-04-19 16:28:21.722412,138.94549326481317,125.06861676346978,0.0,0.021125,0.0,1.5515701435962936,1.5515701435962936
2023-04-19 16:31:21.722412,138.10893109316055,123.75606324325122,23.333333333333332,0.021125,0.0,1.463863216980913,1.463863216980913
2023-04-19 16:34:21.722412,137.26931251745944,123.32552672962005,0.0,2.3544583333333335,0.0,1.3778978670621653,1.3778978670621653
2023-04-19 16:37:21.722412,136.43547539003498,123.47935741397477,0.0,0.021125,0.0,1.294608942592648,1.294608942592648
2023-04-19 16:40:21.722412,135.64958153174513,123.94228385865657,0.0,0.021125,0.0,1.2180470122291014,1.2180470122291014
2023-04-19 16:43:21.722412,135.00567337627433,124.48578040777957,0.0,0.021125,0.0,1.1567439697395414,1.1567439697395414
2023-04-19 16:46:21.722412,134.6441854231969,124.93043771277885,0.0,0.021125,0.0,1.1228997125142697,1.1228997125142697
2023-04-19 16:49:21.722412,134.73664930143843,125.13317770387954,0.0,0.021125,0.0,1.1315172645642504,1.1315172645642504
2023-04-19 16:52:21.722412,135.45482179112676,124.96211969166785,0.0,0.021125,0.0,1.199368397154532,1.199368397154532
2023-04-19 16:55:21.722412,136.92028209298286,124.25318612683243,0.0,0.021125,0.0,1.342779397332141,1.342779397332141
2023-04-19 16:58:21.722412,139.17369294596065,124.99349149502336,0.0,0.021125,0.0,1.57584589340975,1.57584589340975
2023-04-19 17:01:21.722412,142.1652896296098,129.66323242683745,0.0,0.021125,0.0,1.9075736849982574,1.9075736849982574
2023-04-19 17:04:21.722412,145.76057336254968,134.66722925406154,0.0,0.021125,0.0,2.337727105198658,2.337727105198658
2023-04-19 17:07:21.722412,149.76445012275983,139.8258348497323,0.0,0.021125,0.0,2.8541185890356218,2.8541185890356218
2023-04-19 17:10:21.722412,153.95979576429096,144.92387947921364,0.0,0.021125,0.0,3.4338846610388183,3.4338846610388183
2023-04-19 17:13:21.722412,158.14440383270696,149.74893413044038,0.0,0.021125,0.0,4.04816309384566,4.04816309384566
2023-04-19 17:16:21.722412,162.15357178324297,154.1191751193678,0.0,0.021125,0.0,4.6674982814045975,4.6674982814045975
2023-04-19 17:19:21.722412,165.86721114797433,157.89566104885768,0.0,0.021125,0.0,5.265863322730429,5.265863322730429
2023-04-19 17:22:21.722412,169.20775046023203,160.98294292327643,0.0,0.021125,0.0,5.822847486625516,5.822847486625516
2023-04-19 17:25:21.722412,172.13321850914292,163.32367916387574,0.0,0.021125,0.0,6.324199369989733,6.324199369989733
2023-04-19 17:28:21.722412,174.6288164223635,164.90221873089948,0.0,0.021125,0.0,6.7612976438150865,6.7612976438150865
2023-04-19 17:31:21.722412,176.69914981769983,165.79493335402367,0.0,0.021125,0.0,7.13015173892066,7.13015173892066
2023-04-19 17:34:21.722412,178.36181029891543,166.1983588548081,0.0,0.021125,0.0,7.430295419156538,7.430295419156538
2023-04-19 17:37:21.722412,179.64241390272207,166.34200765636268,0.0,0.021125,0.0,7.66376900845986,7.66376900845986
2023-04-19 17:40:21.722412,180.57094888635243,166.4609328691727,0.0,0.021125,0.0,7.834272683186775,7.834272683186775
2023-04-19 17:43:21.722412,181.17919773317703,166.77383693522728,0.0,0.021125,0.0,7.946507310544541,7.946507310544541
2023-04-19 17:46:21.722412,181.49899247793599,167.38623569081057,0.0,0.021125,0.0,8.00568661256131,8.00568661256131
2023-04-19 17:49:21.722412,181.56109127264165,168.23224218407705,0.0,0.021125,0.0,8.017191772937556,8.017191772937556
2023-04-19 17:52:21.722412,181.3945034943412,169.2065003067968,0.0,0.021125,0.0,7.986337657383701,7.986337657383701
2023-04-19 17:55:21.722412,181.02612939513713,170.20165355745857,0.0,0.021125,0.0,7.918222846060532,7.918222846060532
2023-04-19 17:58:21.722412,180.4806137871512,171.11193320211277,0.0,0.021125,0.0,7.817640479491011,7.817640479491011
2023-04-19 18:01:21.722412,179.78032788370768,171.8521086252542,0.0,0.021125,0.0,7.689029597207343,7.689029597207343
2023-04-19 18:04:21.722412,178.9452989257757,172.36886094094928,0.0,0.021125,0.0,7.536430107252472,7.536430107252472
2023-04-19 18:07:21.722412,177.99338035854822,172.61422036602016,0.0,0.021125,0.0,7.363492205638736,7.363492205638736
2023-04-19 18:10:21.722412,176.94061789356374,172.5382892671704,0.0,0.021125,0.0,7.173528287975099,7.173528287975099
2023-04-19 18:13:21.722412,175.80141397132215,172.1001338653133,0.0,0.021125,0.0,6.96953253268081,6.96953253268081
